,sales_amount
2012-12-01,493.9004589758766
2013-01-01,494.9438189049698
2013-02-01,496.4041149941969
2013-03-01,497.9957891979351
2013-04-01,498.8833390500822
2013-05-01,499.8449044293729
2013-06-01,500.7611038320227
2013-07-01,501.48550941077815
2013-08-01,501.98650917668044
2013-09-01,502.14278118264565
2013-10-01,502.398670115045
2013-11-01,503.3342646742208
2013-12-01,504.64522399288956
2014-01-01,505.6791968828793
2014-02-01,506.71941501497986
2014-03-01,507.6493925551715
2014-04-01,508.8836018718558
2014-05-01,510.4543842415669
2014-06-01,511.60397146812534
2014-07-01,513.036729487889
2014-08-01,514.6120837276981
2014-09-01,515.465313659932
2014-10-01,516.2612084346853
2014-11-01,517.0169227246214
2014-12-01,517.2954978122693
2015-01-01,517.99676868708
2015-02-01,519.2438510233395
2015-03-01,519.9860889275637
2015-04-01,520.5404708852295
2015-05-01,521.1606078170898
2015-06-01,521.5189969055103
2015-07-01,522.2232830556507
2015-08-01,522.6104756027964
2015-09-01,523.4805494929503
2015-10-01,524.9684404603199
2015-11-01,525.5735556094594
2015-12-01,525.6706117942642
2016-01-01,526.0473926197122
2016-02-01,526.2472282496367
2016-03-01,526.412061528961
2016-04-01,527.1460530717529
2016-05-01,527.3858641134846
2016-06-01,527.8918623141775
2016-07-01,528.9578910071768
2016-08-01,529.8794609655215
2016-09-01,529.9094046722707
2016-10-01,529.9224049387924
2016-11-01,530.5847555730031
2016-12-01,531.5522654812987
2017-01-01,532.6462850702884
2017-02-01,533.2083382143913
2017-03-01,533.8205019307836
2017-04-01,534.7373912648279
2017-05-01,535.9190133030679
2017-06-01,537.5891212592819
2017-07-01,538.8381077178763
2017-08-01,539.7409550657825
2017-09-01,540.7516893690475
2017-10-01,541.7197615079801
2017-11-01,542.4920659817083
2017-12-01,543.573070929548
2018-01-01,544.9625172553967
2018-02-01,546.0937451886787
2018-03-01,547.437059542146
2018-04-01,547.8475231489549
2018-05-01,548.3127223322206
2018-06-01,549.465962611237
2018-07-01,549.2095050015292
2018-08-01,548.7255018423306
2018-09-01,548.8521581064764
2018-10-01,548.4527848348857
2018-11-01,548.8405776986617
2018-12-01,549.701481392183
2019-01-01,549.6921995408077
2019-02-01,550.141974493856
2019-03-01,551.2043135366082
2019-04-01,551.8800515290707
2019-05-01,552.3718582435517
2019-06-01,552.5486725134244
2019-07-01,553.1584268062106
2019-08-01,554.265413718834
2019-09-01,555.6809114198963
2019-10-01,555.2779559482562
2019-11-01,550.3910159971163
2019-12-01,546.1243418220452
2020-01-01,546.7392945115351
2020-02-01,549.4575283314722
2020-03-01,551.1509706826137
2020-04-01,553.5000601738686
2020-05-01,557.0951843954102
2020-06-01,559.6129857746336
2020-07-01,562.0737677923877
2020-08-01,565.5935449950214
2020-09-01,568.3715216765631
2020-10-01,575.3369269450095
2020-11-01,589.4679948719148
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
