,0
2007-02-01,-5.7622503789062876
2007-03-01,7.671595350075614
2007-04-01,-3.3772194807338316
2007-05-01,12.916738505349656
2007-06-01,0.9374852330619081
2007-07-01,-4.913820475992998
2007-08-01,9.360867812070856
2007-09-01,-8.39887688505058
2007-10-01,-2.061154609213789
2007-11-01,3.326265401305923
2007-12-01,-6.580534062491054
2008-01-01,3.293626050983079
2008-02-01,7.80118977921353
2008-03-01,-7.426823625915012
2008-04-01,0.9643440943330823
2008-05-01,10.69996216284784
2008-06-01,-2.4617377625497294
2008-07-01,7.1764597201728515
2008-08-01,0.6265312577419788
2008-09-01,-3.751108835004114
2008-10-01,-10.91962851524366
2008-11-01,-23.78009955437438
2008-12-01,-21.796860509945603
2009-01-01,2.6878858087586366
2009-02-01,-6.004795941077305
