,sales_amount
2000-12-01,530.23870069874
2001-01-01,406.4234204214123
2001-02-01,400.4576028749999
2001-03-01,452.8887288699602
2001-04-01,444.31022977324255
2001-05-01,476.8353716187252
2001-06-01,460.9875413055712
2001-07-01,446.1374731905299
2001-08-01,472.6675961668545
2001-09-01,417.3609211678832
2001-10-01,469.8814806756756
2001-11-01,464.5013563042253
2001-12-01,529.7971188049605
2002-01-01,408.2701100506472
2002-02-01,403.2294473258426
2002-03-01,453.3117940504202
2002-04-01,451.68234747350806
2002-05-01,476.29260084679663
2002-06-01,456.2333747772829
2002-07-01,466.4258409444444
2002-08-01,484.1736131634349
2002-09-01,428.777080199115
2002-10-01,451.440685816777
2002-11-01,457.2708334325068
2002-12-01,534.5525038833882
2003-01-01,417.5207661883899
2003-02-01,400.1756966666667
2003-03-01,452.66186488308864
2003-04-01,456.895901419214
2003-05-01,484.2998614106068
2003-06-01,466.1718187438558
2003-07-01,478.4923112574851
2003-08-01,486.4619156205962
2003-09-01,451.0856351485683
2003-10-01,465.95482837209306
2003-11-01,463.3470684108108
2003-12-01,555.9051180485175
2004-01-01,427.043935308642
2004-02-01,427.59708973754687
2004-03-01,484.2968764510956
2004-04-01,477.4444874599786
2004-05-01,495.3595725717322
2004-06-01,482.5474087030174
2004-07-01,490.70880089899526
2004-08-01,489.2153130972516
2004-09-01,469.16731382507896
2004-10-01,474.12030947589096
2004-11-01,483.0733787584768
2004-12-01,582.1395520187793
2005-01-01,432.7244558141962
2005-02-01,433.95264823284816
2005-03-01,499.2996137959606
2005-04-01,490.7184566029943
2005-05-01,505.9877805371901
2005-06-01,515.6090307176045
2005-07-01,511.64649811185217
2005-08-01,515.7721191942886
2005-09-01,475.5731748189135
2005-10-01,477.6604727172276
2005-11-01,495.1658076224129
2005-12-01,588.9060173447754
2006-01-01,451.8215166683392
2006-02-01,445.70048175526574
2006-03-01,513.949839549324
2006-04-01,496.2944735226706
2006-05-01,527.435934416294
2006-06-01,515.9166252923686
2006-07-01,505.4595408082799
2006-08-01,523.6866061334641
2006-09-01,482.2314677021696
2006-10-01,487.8116173155026
2006-11-01,503.32467848514847
2006-12-01,589.0686409059576
2007-01-01,456.7592956246897
2007-02-01,446.9528590385161
2007-03-01,514.9272098807528
2007-04-01,492.0881234264511
2007-05-01,537.580275620904
2007-06-01,513.5419074765723
2007-07-01,505.9989840705577
2007-08-01,529.1429019825008
2007-09-01,478.5544336288702
2007-10-01,498.0354609589368
2007-11-01,510.2344959921075
2007-12-01,576.6621508099033
2008-01-01,456.18153560756735
2008-02-01,455.9615740783405
2008-03-01,493.0289034144147
2008-04-01,486.8688493703901
2008-05-01,522.4251422902494
2008-06-01,491.7042008341649
2008-07-01,494.4922032545567
2008-08-01,492.7615249805661
2008-09-01,450.4522690278101
2008-10-01,451.6239705615336
2008-11-01,441.77660773247385
2008-12-01,515.8175097115393
2009-01-01,406.84242014221473
2009-02-01,391.2622316823769
2009-03-01,429.5646422174639
2009-04-01,432.0513665430235
2009-05-01,454.2252254039489
2009-06-01,448.3898240141533
2009-07-01,452.6225377550925
2009-08-01,459.3762697208104
2009-09-01,419.95502061975066
2009-10-01,436.5596208933577
2009-11-01,440.1582675824226
2009-12-01,525.1861134959304
2010-01-01,403.7521159052453
2010-02-01,399.0996096115169
2010-03-01,465.1888183277893
2010-04-01,458.7635903828373
2010-05-01,470.4142230199273
2010-06-01,462.4442172293611
2010-07-01,464.0861087291193
2010-08-01,465.4363093110869
2010-09-01,443.52020005955785
